,name,class,subclass
1222,梅脯,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1223,阿胶枣,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1224,黑贡枣,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1225,多味山楂,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1226,山楂脯,：糖、果脯和蜜饯、蜂蜜,：果脯和蜜饯
1227,地瓜干,：小地瓜,、果脯和蜜饯、蜂蜜
1228,蜂蜜,：糖、果脯和蜜饯、蜂蜜,：蜂蜜
1229,蜂蜜(槐花),：糖、果脯和蜜饯、蜂蜜,：蜂蜜
1230,蜂蜜(天麻),：糖、果脯和蜜饯、蜂蜜,：蜂蜜
1231,蜂蜜(硬蜜),：糖、果脯和蜜饯、蜂蜜,：蜂蜜
1232,蜂蜜(油菜花),：糖、果脯和蜜饯、蜂蜜,：蜂蜜
1233,牛油,：油脂类,：动物油脂
1234,羊油,：油脂类,：动物油脂
1235,猪油(炼),：油脂类,：动物油脂
1236,油（菜籽油)[青油],：油脂类,：植物油
1237,油（茶油),：油脂类,：植物油
1238,豆油,：油脂类,：植物油
1239,油（红花油),：油脂类,：植物油
1240,油（胡麻油),：油脂类,：植物油
1241,花生油,：油脂类,：植物油
1242,葵花籽油,：油脂类,：植物油
1243,油（辣椒油),：油脂类,：植物油
1244,油（麦芽油),：油脂类,：植物油
1245,油（棉籽油),：油脂类,：植物油
1246,色拉油,：油脂类,：植物油
1247,油（椰子油),：油脂类,：植物油
1248,玉米油,：油脂类,：植物油
1249,芝麻油[香油],：油脂类,：植物油
1250,油（棕榈油),：油脂类,：植物油
1251,油（橄榄油),：油脂类,：植物油
1252,核桃油,：油脂类,：植物油
1253,栗米油[玉米胚芽油],：油脂类,：植物油
1254,米糠油,：油脂类,：植物油
1255,油茶籽油,：油脂类,：植物油
1256,芝麻油[香油],：油脂类,：植物油
1257,大豆色拉油,：油脂类,：植物油
1258,色拉油,：油脂类,：植物油
1259,酱油(均值),：调味品类,：酱油
1260,黄豆酱油,：调味品类,：酱油
1261,醋(均值),：调味品类,：醋
1262,白醋,：调味品类,：醋
1263,陈醋,：调味品类,：醋
1264,豆瓣酱,：调味品类,：酱
1265,花生酱,：调味品类,：酱
1266,黄酱[大酱],：调味品类,：酱
1267,辣椒酱[辣椒糊],：调味品类,：酱
1268,甜面酱,：调味品类,：酱
1269,芝麻酱,：调味品类,：酱
1270,郫县辣酱,：调味品类,：酱
1271,海鲜酱(阿香婆),：调味品类,：酱
1272,牛肉酱(阿香婆),：调味品类,：酱
1273,花生酱,：调味品类,：酱
1274,花生酱(加巧克力),：调味品类,：酱
1275,芝麻酱,：调味品类,：酱
1276,千岛沙拉酱,：调味品类,：酱
1277,沙拉酱,：调味品类,：酱
1278,奶油攀司,：调味品类,：酱
1279,草莓酱,：调味品类,：酱
1280,番茄酱,：调味品类,：酱
1281,苹果酱,：调味品类,：酱
1282,桃酱,：调味品类,：酱
1283,杏酱,：调味品类,：酱
1284,草莓酱,：调味品类,：酱
1285,番茄沙司,：调味品类,：酱
1286,腐乳(白)[酱豆腐],：调味品类,：腐乳
1287,腐乳(臭)[臭豆腐],：调味品类,：腐乳
1288,腐乳(红)[酱豆腐],：调味品类,：腐乳
