,name,informal_name,class,energy,carbohydrates,fat,protein,cellulose
28,鸭肝,None,蛋类、肉类及制品,128,0.5,7.5,14.5,0
29,熏羊脾,None,None,None,None,None,None,None
30,小牛颈肉,None,私家菜 ,117.87,6.69,5.24,11.49,0.53
31,冬瓜,白瓜、水芝、地芝、枕瓜、濮瓜、白冬瓜、东瓜、冬瓜、鲜冬瓜片,蔬果和菌藻,10,2.4,0.2,0.3,0
32,南瓜,麦瓜、番瓜、倭瓜、金瓜、伏瓜、饭瓜、窝瓜、中国南瓜、倭瓜，番瓜,蔬果和菌藻,23,5.3,0.1,0.7,0.8
33,洋葱,洋葱头、玉葱、葱头、圆葱、球葱、洋葱、葱头,蔬果和菌藻,40,9,0.2,1.1,0.9
34,番茄,西红柿、洋柿子、狼桃、番李子、金橘、番柿、六月柿、洋海椒、毛腊果、西红柿,蔬果和菌藻,15,3.3,0.2,0.9,1
35,姜,生姜、黄姜、均姜、黄姜,蔬果和菌藻,46,10.3,0.6,1.3,2.7
36,葫芦,搅瓜、白南瓜,蔬果和菌藻,19,3.8,0.2,0.8,0.6
37,萝卜,萝卜、莱菔、莱菔,蔬果和菌藻,16,4,0.1,0.7,1.1
38,胡瓜,青瓜、胡瓜,蔬果和菌藻,16,2.9,0.2,0.8,0.5
39,酸菜类,酸汤鱼、酸辣鱼、酸菜鱼,四川菜 ,97.53,1.63,4.38,13.04,0.19
40,腌菜类,None,None,None,None,None,None,None
41,苋菜,刺苋菜、野苋菜、雁来红、三色苋、绵苋、青香苋、野刺苋、米苋,蔬果和菌藻,30,5,0.3,2.8,2.2
42,葱头,洋葱头、玉葱、葱头、圆葱、球葱、洋葱、葱头,蔬果和菌藻,40,9,0.2,1.1,0.9
43,青椒,剁椒,调味品,41.5,10.8,0.5,1.4,5.9
44,蒜头,糖蒜,调味品,117,27.6,0.2,2.1,1.7
45,黑木耳,黑木耳、云耳、黑木耳，云耳,蔬果和菌藻,27,6,0.2,1.5,2.6
46,胡萝卜,萝卜、黄萝卜、丁香萝卜、红芦菔、甘笋、黄根、卜香菜、药萝卜、赤珊瑚,蔬果和菌藻,39,8.8,0.2,1,1.1
47,圆白菜,圆白菜，包菜，甘蓝、圆白菜、卷心菜,蔬果和菌藻,24,4.6,0.2,1.5,1
48,榨菜,None,调味品,33,6.5,0.3,2.2,2.1
49,苦瓜,凉瓜、癞瓜、锦荔枝、癞葡萄、凉瓜，癞瓜,蔬果和菌藻,22,4.9,0.1,1,1.4
50,丝瓜,天丝瓜、天罗、蜜瓜、布瓜、天吊瓜、纯阳瓜、倒阳菜、水瓜、絮瓜、缣瓜、蛮瓜、绵瓜,蔬果和菌藻,20,4,0.2,1.3,0
51,荠菜,护生草、芊菜、净肠草、地米菜、香菜、地菜、鸡心菜、菱角菜、鸡脚菜、蓟菜、菱角菜、菱角菜,蔬果和菌藻,31,4.7,0.4,2.9,1.7
52,芥菜,雪里蕻、雪菜、芥、大芥、黄芥、皱叶芥、雪里红，雪菜,蔬果和菌藻,27,4.7,0.4,2,1.6
53,包心菜,None,私家菜 ,41.79,4.27,1.85,2.15,0.18
54,芹菜,刀芹、蜀芹、香芹,蔬果和菌藻,13,1.8,0.2,1.4,0.9
55,白菜,白菜,蔬果和菌藻,20,3.4,0.2,1.6,0.9
56,青葱,葱、青葱、四季葱、事菜,蔬果和菌藻,28,5.8,0.3,1.6,2.2
57,菠菜,菠棱菜、赤根菜、波斯草、鹦鹉菜、鼠根菜、角菜、赤根菜,蔬果和菌藻,28,4.5,0.3,2.6,1.7
58,辣椒,剁椒,调味品,41.5,10.8,0.5,1.4,5.9
59,茄子,落苏、茄瓜,蔬果和菌藻,23,4.9,0.2,1.1,1.3
60,小黄瓜,None,湖南菜 ,43.34,7.28,0.86,1.1,0.89
61,生菜,牛俐、鲜生菜、鲜圆生菜,蔬果和菌藻,16,2.1,0.4,1.4,0.6
62,青蒿,None,谷薯芋、杂豆、主食,215.82,50.5,0.2,2.2,一
